##alive;"Judge not convinced murder victim is ___" (Baltimore Sun)
##chick;"___ accuses some of her colleagues of sexism" (L.A. Times)
##coldwave;"___ linked to temperatures" (newspaper headline)
##cows;"___ lose their jobs as milk prices drop" (Baltimore Sun)
##crack;"Strip search finds ___ between buttocks" (WYFF4.com headline)
##dead;"Man found ___ in graveyard" (Evening Standard)
##eel;"Endangered seal with ___ up its nose remains a mystery" (BBC)
##eels;"___ stuck in Hawaiian monk seals' noses baffle scientists" (Washington Post)
##everyonemakesmistakes;"'___' says teen who karate-kicked 74-year-old man into River Mersey" (Manchester Evening News)
##food;"___ is basic to student diet" (Bridgeport (Connecticut) Post)
##gunshop;"Federal agents raid ___, find weapons" (The World)
##hearing;"Shouting match ends teacher's ___" (newspaper headline)
##homicide;"___ victims rarely talk to police" (Express Times)
##illiteracy;"___ an obstable, study finds" (The Washington Post)
##joint;"Marijuana issue sent to a ___ committee" (Toronto Star)
##jointcommittee;"Marijuana issue sent to a ___" (Toronto Star)
##karatekicked;"'Everyone makes mistakes' says teen who ___ 74-year-old man into River Mersey" (Manchester Evening News)
##larger;"___ kangaroos leap farther, researchers find" (L.A. Times)
##literacy;"Missippi's ___ program shows improvement" (Associated Press)
##marijuana;"___ issue sent to a joint committee" (Toronto Star)
##miraclecure;"___ kills fifth patient" (Associated Press)
##money;"World Bank says poor need more ___" (A.P.)
##murder;"Judge not convinced ___ victim is alive" (Baltimore Sun)
##onelegged;"___ escapee still on the run" (The Australian)
##ontherun;"One-legged escapee still ___" (The Australian)
##oxygen;"Breathing ___ linked to staying alive" (Mason County Press)
##package;"Republicans turned off by size of Obama's ___" (viral 2009 headline)
##passing;"___ wind strands BC Ferry passengers" (Vancouver Sun)
##poor;"World Bank says ___ need more money" (Associated Press)
##qualityoflife;"Terminal illness strains ___" (Arizona Republic)
##screw;"Textron Inc. makes offer to ___ company stockholders" (Miami Herald)
##sewer;"City unsure why the ___ smells" (South Haven Herald-Palladium)
##shellshocked;"Tortoise theft leaves owner ___" (Whitechurch Herald)
##shoutingmatch;"___ ends teacher's hearing" (newspaper headline)
##smells;"City unsure why the sewer ___" (South Haven Herald-Palladium)
##spicysausage;"French scientist owns up after star photo revealed to be ___" (ABC News)
##stayingalive;"Breathing oxygen linked to ___" (Mason County Press)
##stool;"Child's ___ great for use in garden" (Buffalo Courier-Express)
##teenpregnancy;"Statistics show that ___ drops off significantly after age 25" (Denver Post)
##tortoise;"___ theft leaves owner shell-shocked" (Whitechurch Herald)
##violin;"Drunk gets three months in ___ case" (Headline)
##violincase;"Drunk gets three months in ___" (Headline)
##walkout;"Limb centre hit by ___" (Cumberland News)
##weapons;"Federal agents raid gun shop, find ___" (The World)
##weather;"Forecaster calls for ___ on Monday" (Pittsburg Post-Gazette)
##wind;"Passing ___ strands BC Ferry passengers" (Vancouver Sun)
*adlibber;Make-up artist?
*adlibbers;Make-up artists?
*beer;Heady stuff?
*bigbang;Creative spark?
*blackhole;Light eater?
*blackhole;What a sucker!
*blackholes;Light eaters?
*blackholes;Suckers!
*bookburning;Lit on fire?
*boutonniere;Stick it to the man
*calendar;Its days are numbered
*calendars;Their days are numbered
*catcher;One who can't stand working at home
*catchers;They can't stand working at home
*christmas;Its days are numbered
*deskcalendar;Its days are numbered
*deskcalendars;Their days are numbered
*drunktalk;Loaded questions?
*filets;Word that's an anagram of itself
*foolserrand;Boob job?
*frightened;Past tense?
*goat;Grass-fed butter?
*grandfatherclock;Old timer?
*hiredgun;All-cash offer?
*hiredguns;All-cash offers?
*jilt;Go off without a hitch?
*jilted;Went off without a hitch?
*jilts;Goes off without a hitch?
*love;Net zero?
*loveall;Pointless
*luckypennies;Change of fortune?
*luckypenny;Change of fortune?
*luggageset;It's a lot to unpack
*meatfork;Strip poker?
*mien;This might sound mean but it's just how you come off to people
*musical;Acting in concert?
*musicals;Acting in concert?
*neardeathexperience;Tunnel vision?
*niceass;Bottom line?
*nicebutt;Bottom line?
*nodder;Silent letter?
*nodders;Silent letters?
*northpaw;Right-hand man
*onsafari;Where to watch the big game?
*onset;Where to see shooting stars?
*petname;Love handle?
*petnames;Love handles?
*quasimodo;Dead ringer?
*saynotodrugs;Stay off the grass?
*selfiestick;First-person shooter?
*selfiesticks;First-person shooters?
*shot;Take in a movie?
*shots;Takes in a movie?
*stifle;Word that's an anagram of itself
*stoned;High definition
*tearjerkers;Read 'em and weep
*terrified;Past tense?
*thebigbang;Creative spark?
*tragedies;Read 'em and weep
*vowofsilence;Zip code?
*wallcalendar;Its days are numbered
*wallcalendars;Their days are numbered
*xmas;Its days are numbered
*xyz;Alphabetical order?
abettor;Stealing second?
abroller;It could help in a crunch
abrollers;They could help in a crunch
abseil;Drop a line?
abseil;Go down swinging?
abseil;Go downhill fast?
abseiled;Dropped a line?
abseiled;Went down swinging?
abseiled;Went downhill fast?
abseiling;Dropping a line?
abseiling;Going down swinging?
abseiling;Going downhill fast?
abseils;Drops a line?
abseils;Goes down swinging?
abseils;Goes downhill fast?
accomplice;Stealing second?
acquisition;Kind of a big deal
acrazylittlethingcalledlove;Queen's subject?
action;Production line?
adam;Garden party
adoptme;Pound sign?
ads;"The cave art of the twentieth century": Marshall McLuhan
adverb;Now or never, e.g.?
afoolandhismoney;Chump change?
afraid;Past tense?
agriculture;Corn field?
aids;Hearing things?
airpods;Hearing things?
alabama;Mobile home?
aladdin;Broke character?
alarmed;Past tense?
albumart;It helps cover one's tracks?
albumsleeve;It helps cover one's tracks?
albumsleeves;They help cover one's tracks?
ale;Heady stuff?
ales;Heady stuff?
algae;Filmmaker?
alist;Star catalog?
allaboard;Cruise line?
allrise;Court order?
allrise;Order in the court?
alterego;Borne identity?
alterego;Likeminded individual?
alterego;Piece of one's mind?
